				node_types		node_column
				biolink:Gene		ENSG00000140992
				biolink:Protein		ENSP00000344220
				biolink:Protein		ENSP00000388878
				biolink:Gene		ENSG00000123411
				biolink:Protein		ENSP00000262032
				biolink:Gene		ENSG00000102189
				biolink:Protein		ENSP00000317955
				biolink:Gene		ENSG00000136240
				biolink:Protein		ENSP00000258739
				biolink:Gene		ENSG00000100628
				biolink:Protein		ENSP00000451575
				biolink:Gene		ENSG00000160972
				biolink:Protein		ENSP00000292539
				biolink:Gene		ENSG00000188234
				biolink:Protein		ENSP00000392513
				biolink:Gene		ENSG00000175220
				biolink:Protein		ENSP00000310491
				biolink:Gene		ENSG00000118322
				biolink:Protein		ENSP00000313600
				biolink:Gene		ENSG00000167524
				biolink:Protein		ENSP00000301037
				biolink:Gene		ENSG00000109103
				biolink:Protein		ENSP00000337040
				biolink:Gene		ENSG00000148513
				biolink:Protein		ENSP00000354432
				biolink:Gene		ENSG00000109061
				biolink:Protein		ENSP00000226207
				biolink:Protein		ENSP00000420849
				biolink:Gene		ENSG00000114745
				biolink:Protein		ENSP00000313869
				biolink:Gene		ENSG00000174903
				biolink:Protein		ENSP00000310226
				biolink:Gene		ENSG00000100314
				biolink:Protein		ENSP00000216144
				biolink:Gene		ENSG00000163673
				biolink:Protein		ENSP00000394484
				biolink:Gene		ENSG00000037637
				biolink:Protein		ENSP00000364742
				biolink:Gene		ENSG00000107130
				biolink:Protein		ENSP00000361475
				biolink:Gene		ENSG00000145284
				biolink:Protein		ENSP00000316329
				biolink:Gene		ENSG00000165699
				biolink:Protein		ENSP00000298552
				biolink:Gene		ENSG00000188219
				biolink:Protein		ENSP00000439189
				biolink:Gene		ENSG00000106089
				biolink:Protein		ENSP00000222812
				biolink:Gene		ENSG00000165752
				biolink:Protein		ENSP00000298630
				biolink:Gene		ENSG00000101752
				biolink:Protein		ENSP00000261537
				biolink:Gene		ENSG00000134215
				biolink:Protein		ENSP00000359073
				biolink:Gene		ENSG00000173947
				biolink:Protein		ENSP00000358753
				biolink:Gene		ENSG00000132535
				biolink:Protein		ENSP00000382428
				biolink:Gene		ENSG00000183943
				biolink:Protein		ENSP00000262848
				biolink:Protein		ENSP00000432660
				biolink:Gene		ENSG00000181085
				biolink:Protein		ENSP00000337691
				biolink:Gene		ENSG00000044115
				biolink:Protein		ENSP00000304669
				biolink:Gene		ENSG00000188906
				biolink:Protein		ENSP00000298910
				biolink:Protein		ENSP00000306752
				biolink:Gene		ENSG00000158716
				biolink:Protein		ENSP00000357087
				biolink:Gene		ENSG00000197157
				biolink:Protein		ENSP00000346762
				biolink:Gene		ENSG00000187231
				biolink:Protein		ENSP00000415332
				biolink:Gene		ENSG00000130158
				biolink:Protein		ENSP00000294618
				biolink:Gene		ENSG00000072195
				biolink:Protein		ENSP00000311684
				biolink:Gene		ENSG00000124222
				biolink:Protein		ENSP00000360183
				biolink:Protein		ENSP00000377971
				biolink:Gene		ENSG00000159352
				biolink:Protein		ENSP00000357879
				biolink:Gene		ENSG00000113068
				biolink:Protein		ENSP00000261813
				biolink:Gene		ENSG00000162994
				biolink:Protein		ENSP00000384869
				biolink:Gene		ENSG00000156052
				biolink:Protein		ENSP00000286548
				biolink:Gene		ENSG00000170348
				biolink:Protein		ENSP00000303145
				biolink:Gene		ENSG00000172403
				biolink:Protein		ENSP00000306015
				biolink:Gene		ENSG00000181856
				biolink:Protein		ENSP00000320935
				biolink:Gene		ENSG00000146648
				biolink:Protein		ENSP00000275493
				biolink:Gene		ENSG00000172354
				biolink:Protein		ENSP00000305260
				biolink:Gene		ENSG00000196586
				biolink:Protein		ENSP00000358994
				biolink:Gene		ENSG00000205517
				biolink:Protein		ENSP00000377075
				biolink:Gene		ENSG00000169032
				biolink:Protein		ENSP00000302486
				biolink:Gene		ENSG00000154065
				biolink:Protein		ENSP00000468354
				biolink:Gene		ENSG00000082701
				biolink:Protein		ENSP00000324806
				biolink:Gene		ENSG00000180138
				biolink:Protein		ENSP00000369126
				biolink:Protein		ENSP00000468367
				biolink:Gene		ENSG00000101350
				biolink:Protein		ENSP00000364864
				biolink:Gene		ENSG00000104142
				biolink:Protein		ENSP00000220509
				biolink:Gene		ENSG00000152465
				biolink:Protein		ENSP00000367407
				biolink:Gene		ENSG00000237441
				biolink:Protein		ENSP00000420211
				biolink:Gene		ENSG00000006432
				biolink:Protein		ENSP00000451263
				biolink:Gene		ENSG00000132518
				biolink:Protein		ENSP00000254854
				biolink:Gene		ENSG00000159788
				biolink:Protein		ENSP00000339381
				biolink:Gene		ENSG00000156411
				biolink:Protein		ENSP00000401770
				biolink:Gene		ENSG00000128052
				biolink:Protein		ENSP00000263923
				biolink:Gene		ENSG00000170209
				biolink:Protein		ENSP00000306678
				biolink:Gene		ENSG00000137824
				biolink:Protein		ENSP00000260385
				biolink:Gene		ENSG00000019991
				biolink:Protein		ENSP00000222390
				biolink:Gene		ENSG00000161800
				biolink:Protein		ENSP00000404190
				biolink:Gene		ENSG00000135823
				biolink:Protein		ENSP00000258301
				biolink:Gene		ENSG00000101255
				biolink:Protein		ENSP00000217233
				biolink:Gene		ENSG00000143179
				biolink:Protein		ENSP00000356853
				biolink:Gene		ENSG00000204740
				biolink:Protein		ENSP00000412763
				biolink:Gene		ENSG00000011485
				biolink:Protein		ENSP00000012443
				biolink:Gene		ENSG00000111716
				biolink:Protein		ENSP00000379386
				biolink:Gene		ENSG00000079739
				biolink:Protein		ENSP00000360124
				biolink:Gene		ENSG00000135605
				biolink:Protein		ENSP00000370912
				biolink:Protein		ENSP00000263373
				biolink:Gene		ENSG00000011405
				biolink:Protein		ENSP00000265970
				biolink:Gene		ENSG00000107862
				biolink:Protein		ENSP00000359000
				biolink:Gene		ENSG00000136002
				biolink:Protein		ENSP00000316845
				biolink:Gene		ENSG00000066455
				biolink:Protein		ENSP00000163416
				biolink:Gene		ENSG00000080371
				biolink:Protein		ENSP00000261263
				biolink:Gene		ENSG00000100906
				biolink:Protein		ENSP00000216797
				biolink:Gene		ENSG00000165623
				biolink:Protein		ENSP00000367952
				biolink:Gene		ENSG00000112294
				biolink:Protein		ENSP00000314649
				biolink:Gene		ENSG00000163625
				biolink:Protein		ENSP00000295888
				biolink:Gene		ENSG00000133612
				biolink:Protein		ENSP00000380413
				biolink:Gene		ENSG00000142186
				biolink:Protein		ENSP00000270176
				biolink:Gene		ENSG00000160447
				biolink:Protein		ENSP00000291906
				biolink:Gene		ENSG00000167657
				biolink:Protein		ENSP00000442973
				biolink:Gene		ENSG00000184363
				biolink:Protein		ENSP00000331678
				biolink:Gene		ENSG00000093183
				biolink:Protein		ENSP00000264454
				biolink:Gene		ENSG00000101460
				biolink:Protein		ENSP00000363970
				biolink:Gene		ENSG00000161203
				biolink:Protein		ENSP00000292807
				biolink:Gene		ENSG00000132854
				biolink:Protein		ENSP00000360195
				biolink:Protein		ENSP00000261891
				biolink:Gene		ENSG00000122966
				biolink:Protein		ENSP00000376306
				biolink:Gene		ENSG00000188542
				biolink:Protein		ENSP00000385885
				biolink:Gene		ENSG00000027075
				biolink:Protein		ENSP00000329127
				biolink:Gene		ENSG00000160396
				biolink:Protein		ENSP00000291823
				biolink:Gene		ENSG00000136040
				biolink:Protein		ENSP00000258526
				biolink:Gene		ENSG00000144036
				biolink:Protein		ENSP00000272427
				biolink:Gene		ENSG00000102931
				biolink:Protein		ENSP00000219204
				biolink:Gene		ENSG00000077380
				biolink:Protein		ENSP00000380308
				biolink:Gene		ENSG00000122550
				biolink:Protein		ENSP00000343273
				biolink:Gene		ENSG00000108179
				biolink:Protein		ENSP00000225174
				biolink:Gene		ENSG00000075785
				biolink:Protein		ENSP00000265062
				biolink:Gene		ENSG00000168000
				biolink:Protein		ENSP00000354032
				biolink:Gene		ENSG00000163110
				biolink:Protein		ENSP00000480359
				biolink:Gene		ENSG00000162878
				biolink:Protein		ENSP00000294964
				biolink:Gene		ENSG00000136754
				biolink:Protein		ENSP00000365312
				biolink:Gene		ENSG00000095383
				biolink:Protein		ENSP00000481721
				biolink:Gene		ENSG00000254647
